Year,Province_x,City,GDP_captia,population,PBC,Before,PCPC,Post,Post_1,mayor,mayor_tenure,mayor_turnover,mayor_age,mayor_education,mayor_corruption,secret,secret_tenure,secret_turnover,secret_age,secret_education,secret_corruption,t,GDP,GDP_growth,First,Second,Third,Prov_code_x,Province_y,City_code_x,light_mean,light_sum,light_min,light_max,light_std,Province,Prov_code_y,City_code_y,PM_mean,PM_sum,PM_min,PM_max,PM_std,Unnamed: 10
2006,安徽省,安庆市,8709.0,607.89,5,0,1,0,0,朱读稳,3,0,49.0,研究生,0.0,韩先聪,4,0,51.0,研究生,1.0,1,4942100,12.6,19.1,42.27,38.63,340000.0,安徽省,340800.0,291.5596896,4396137.0,0.0,6030.0,603.2455828,安徽省,340000.0,340800.0,46.90659894,586426.3,28.29999924,61.70000076,7.822310956,
2007,安徽省,安庆市,10485.0,610.99,1,0,0,1,0,朱读稳,4,0,50.0,研究生,0.0,韩先聪,5,0,52.0,研究生,1.0,2,5876612,13.4,19.12,41.37,39.51,340000.0,安徽省,340800.0,338.1693346,4858817.0,0.0,6117.0,622.2701812,安徽省,340000.0,340800.0,53.0542233,663283.8997,35.0,67.5,7.870043006,
2008,安徽省,安庆市,12595.0,613.89,2,0,0,0,1,肖超英,1,1,50.0,研究生,0.0,朱读稳,1,1,51.0,研究生,0.0,3,7047175,12.2,19.05,42.44,38.52,340000.0,安徽省,340800.0,347.2358091,4997765.0,0.0,5834.0,599.2476379,安徽省,340000.0,340800.0,51.63959366,645598.2,33.29999924,64.09999847,7.638952733,
2009,安徽省,安庆市,13811.0,614.89,3,0,0,0,0,肖超英,2,0,51.0,研究生,0.0,朱读稳,2,0,52.0,研究生,0.0,4,7706600,12.3,18.52,46.89,34.59,340000.0,安徽省,340800.0,292.5310812,4277682.0,0.0,5450.0,560.3277604,安徽省,340000.0,340800.0,49.85404735,623275.2999,32.29999924,63.70000076,7.234225433,
2010,安徽省,安庆市,18604.0,615.75,4,1,0,0,0,肖超英,3,0,52.0,研究生,0.0,朱读稳,3,0,53.0,研究生,0.0,5,9881100,13.6,15.74,53.03,31.23,340000.0,安徽省,340800.0,342.1965461,4834895.0,0.0,5359.0,514.5171064,安徽省,340000.0,340800.0,50.52013278,631602.7,31.89999962,64.19999695,7.854229912,
2011,安徽省,安庆市,22893.0,617.1,5,0,1,0,0,肖超英,4,0,53.0,研究生,0.0,朱读稳,4,0,54.0,研究生,0.0,6,12157400,13.2,14.86,55.33,29.8,340000.0,安徽省,340800.0,410.5686103,5161258.0,0.0,6028.0,676.0121183,安徽省,340000.0,340800.0,51.80347142,647646.9997,33.90000153,66.09999847,7.385664281,
2012,安徽省,安庆市,25592.0,619.5,1,0,0,1,0,肖超英,5,1,54.0,研究生,0.0,朱读稳,5,0,55.0,研究生,0.0,7,13597027,11.5,14.43,55.85,29.72,340000.0,安徽省,340800.0,358.2272037,4953924.0,0.0,5461.0,602.8269519,安徽省,340000.0,340800.0,46.5580467,582068.6998,29.79999924,59.20000076,7.591478557,
2013,安徽省,安庆市,22801.0,621.1,2,0,0,0,1,魏晓明,1,0,49.0,硕士,0.0,虞爱华,1,1,48.0,研究生,0.0,8,14182282,4.3,14.25,53.14,32.61,340000.0,安徽省,340800.0,350.0316384,5576004.0,0.0,5475.0,677.7940677,安徽省,340000.0,340800.0,50.89544072,636294.7999,30.60000038,67.09999847,8.564471304,
2014,安徽省,安庆市,28808.0,621.1,3,0,0,0,0,魏晓明,2,0,50.0,硕士,0.0,虞爱华,2,0,49.0,研究生,0.0,9,15443170,9.27,13.75,52.76,33.49,340000.0,安徽省,340800.0,381.656785,6063763.0,0.0,5731.0,734.0629435,安徽省,340000.0,340800.0,50.04855221,625706.9997,32.29999924,66.80000305,7.993823134,
2015,安徽省,安庆市,31101.0,621.88,4,1,0,0,0,魏晓明,3,0,51.0,硕士,0.0,虞爱华,3,0,50.0,研究生,0.0,10,14174300,7.4,13.12,50.36,36.53,340000.0,安徽省,340800.0,425.3574678,6544550.0,0.0,5949.0,759.098481,安徽省,340000.0,340800.0,43.50466325,543895.2999,27.29999924,55.29999924,6.572718376,
2016,安徽省,安庆市,33294.0,527.0,5,0,1,0,0,陈冰冰,1,1,54.0,研究生,0.0,魏晓明,1,1,52.0,硕士,0.0,11,15311776,8.0,12.54,47.49,39.97,340000.0,安徽省,340800.0,449.286457,6827357.0,0.0,6022.0,759.8088556,安徽省,340000.0,340800.0,41.62030074,520336.9999,25.5,53.59999847,7.094217246,
2017,安徽省,安庆市,36928.0,530.0,1,0,0,1,0,陈冰冰,2,0,55.0,研究生,0.0,魏晓明,2,0,53.0,硕士,0.0,12,17088300,8.6,0.0,0.0,0.0,340000.0,安徽省,340800.0,408.3763896,6171384.0,0.0,5617.0,718.4295201,安徽省,340000.0,340800.0,41.66102224,520846.1,24.5,55.29999924,7.861773993,
2018,安徽省,安庆市,41088.0,530.0,2,0,0,0,1,陈冰冰,3,0,56.0,研究生,0.0,魏晓明,3,0,54.0,硕士,0.0,13,19175850,7.8,10.43,49.87,39.7,340000.0,安徽省,340800.0,443.0259349,6610833.0,0.0,5343.0,623.7486797,安徽省,340000.0,340800.0,33.76660534,422150.1,19.20000076,46.29999924,6.899418105,
2019,安徽省,安庆市,50574.0,529.0,3,0,0,0,0,陈冰冰,4,0,57.0,研究生,0.0,魏晓明,4,0,55.0,硕士,0.0,14,23810000,7.0,9.08,44.92,45.98,340000.0,安徽省,340800.0,529.1235891,7406672.0,0.0,6169.0,823.781655,安徽省,340000.0,340800.0,36.86605342,460899.3998,20.79999924,48.90000153,7.239705756,
2006,内蒙古,巴彦淖尔市,16045.0,179.41,5,0,1,0,0,王素毅,2,0,45.0,研究生,1.0,郭启俊,2,0,54.0,大学,0.0,1,2782323,18.0,25.99,44.93,29.07,150000.0,内蒙古自治区,150800.0,98.79013232,6331262.0,0.0,6034.0,337.4628478,内蒙古自治区,150000.0,150800.0,40.99614874,2876248.799,27.0,58.0,5.608489036,
2007,内蒙古,巴彦淖尔市,20423.0,182.3,1,0,0,1,0,王素毅,3,0,46.0,研究生,1.0,郭启俊,3,0,55.0,大学,0.0,2,3551474,17.3,25.06,47.45,27.49,150000.0,内蒙古自治区,150800.0,137.5657834,6593528.0,0.0,6300.0,397.2675324,内蒙古自治区,150000.0,150800.0,34.6302584,2429624.299,22.5,51.09999847,5.216635232,
2008,内蒙古,巴彦淖尔市,25237.0,185.0,2,0,0,0,1,王波,1,1,50.0,研究生,0.0,王素毅,1,1,47.0,研究生,1.0,3,4390600,17.8,21.1,52.3,26.6,150000.0,内蒙古自治区,150800.0,115.57624,6664126.0,0.0,6300.0,374.2632599,内蒙古自治区,150000.0,150800.0,34.19849911,2399332.499,22.20000076,50.09999847,5.836515395,
2009,内蒙古,巴彦淖尔市,29384.0,173.52,3,0,0,0,0,王波,2,0,51.0,研究生,0.0,王素毅,2,0,48.0,研究生,1.0,4,5098658,19.3,19.49,54.9,25.62,150000.0,内蒙古自治区,150800.0,100.3318626,6185359.0,0.0,6040.0,390.2200197,内蒙古自治区,150000.0,150800.0,36.60244016,2567990.599,23.70000076,55.5,6.282099142,
2010,内蒙古,巴彦淖尔市,35463.0,174.67,4,1,0,0,0,何永林,1,1,48.0,研究生,1.0,王素毅,3,1,49.0,研究生,1.0,5,6033292,13.5,19.73,56.3,23.97,150000.0,内蒙古自治区,150800.0,126.9103812,7368036.0,0.0,5876.0,356.9334796,内蒙古自治区,150000.0,150800.0,43.33616784,3040422.199,29.70000076,62.5,6.884945927,
2011,内蒙古,巴彦淖尔市,43118.0,176.6,5,0,1,0,0,何永林,2,1,49.0,研究生,1.0,那顺孟和,1,1,54.0,高中,0.0,6,7184502,10.5,19.26,57.63,23.11,150000.0,内蒙古自治区,150800.0,141.1956343,7723260.0,0.0,6040.0,424.541864,内蒙古自治区,150000.0,150800.0,33.65440355,2361159.299,22.5,57.29999924,6.088471496,
2012,内蒙古,巴彦淖尔市,48812.0,176.8,1,0,0,1,0,段志强,1,0,50.0,研究生,0.0,何永林,1,0,50.0,研究生,1.0,7,8133300,10.3,18.59,58.87,22.54,150000.0,内蒙古自治区,150800.0,117.3621486,7544391.0,0.0,5795.0,374.6886987,内蒙古自治区,150000.0,150800.0,30.80415341,2161188.599,17.29999924,50.79999924,6.681425256,
2013,内蒙古,巴彦淖尔市,45622.0,185.0,2,0,0,0,1,段志强,2,0,51.0,研究生,0.0,何永林,2,0,51.0,研究生,1.0,8,8348900,2.65,19.43,56.23,24.33,150000.0,内蒙古自治区,150800.0,145.2246067,8262554.0,0.0,6166.0,445.4535868,内蒙古自治区,150000.0,150800.0,32.44054931,2275996.499,20.5,49.40000153,6.086614174,
2014,内蒙古,巴彦淖尔市,51872.0,180.9,3,0,0,0,0,段志强,3,0,52.0,研究生,0.0,何永林,3,0,52.0,研究生,1.0,9,8674600,7.8,19.42,55.13,25.45,150000.0,内蒙古自治区,150800.0,139.578834,8874841.0,0.0,6300.0,453.466128,内蒙古自治区,150000.0,150800.0,32.95029004,2311759.399,23.20000076,48.70000076,5.237495206,
